NF,NF,NF
NF,F,F
NF,NF,NF
NF,F,F
NF,NF,NF
F,NF,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,NF,NF
NF,F,F
NF,NF,NF
F,NF,NF
F,NF,F
NF,NF,NF
F,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,F
NF,NF,NF
NF,NF,NF
NF,NF,F
F,NF,NF
NF,NF,NF
NF,NF,NF
NF,F,F
NF,NF,NF
NF,NF,NF
F,F,F
NF,NF,NF
NF,NF,F
NF,NF,NF
NF,F,F
NF,NF,NF
NF,F,F
NF,NF,NF
NF,NF,NF
F,NF,NF
F,NF,F
NF,NF,NF
NF,NF,NF
F,NF,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,NF,NF
NF,NF,NF
NF,NF,NF
NF,F,F
NF,NF,NF
NF,F,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,F,F
NF,NF,NF
NF,NF,NF
F,NF,NF
NF,NF,NF
F,F,F
F,F,F
NF,NF,NF
NF,F,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,F,F
NF,NF,NF
NF,NF,NF
NF,F,F
NF,NF,F
NF,NF,NF
NF,NF,NF
F,NF,F
F,F,F
NF,NF,NF
NF,NF,NF
F,NF,NF
NF,NF,F
F,NF,NF
F,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,F,F
NF,NF,NF
NF,NF,NF
F,F,F
F,F,F
NF,NF,NF
NF,NF,NF
F,NF,NF
NF,NF,NF
F,NF,NF
NF,F,F
NF,NF,NF
F,NF,F
NF,F,F
NF,F,F
NF,NF,NF
F,NF,NF
NF,NF,NF
NF,NF,NF
F,NF,F
NF,NF,NF
F,F,F
F,F,F
F,NF,NF
NF,NF,NF
NF,NF,NF
F,NF,F
F,F,F
NF,NF,NF
NF,NF,F
NF,NF,NF
NF,NF,NF
F,NF,F
NF,NF,NF
NF,NF,NF
F,NF,F
NF,NF,NF
NF,NF,NF
F,NF,NF
NF,NF,NF
NF,F,F
F,F,F
NF,NF,NF
F,F,F
F,F,F
F,F,F
NF,F,F
F,NF,NF
F,F,F
NF,NF,NF
F,NF,NF
F,NF,NF
NF,NF,NF
F,NF,F
NF,NF,NF
F,NF,F
NF,NF,NF
F,NF,NF
NF,F,F
NF,F,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,F,F
NF,F,F
F,F,F
NF,F,F
F,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,NF,NF
F,F,F
F,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,F,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,F,NF
F,NF,F
NF,NF,F
NF,NF,F
F,F,F
F,NF,F
NF,F,NF
F,NF,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,NF,F
NF,NF,NF
F,F,F
NF,NF,NF
F,NF,NF
NF,NF,NF
NF,NF,NF
NF,F,F
F,NF,NF
NF,F,F
NF,F,F
F,F,F
NF,NF,NF
F,NF,NF
F,NF,F
NF,NF,NF
NF,F,F
F,NF,F
F,F,F
NF,NF,NF
NF,NF,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,F
F,NF,F
NF,NF,NF
F,NF,NF
NF,F,F
NF,NF,NF
F,NF,NF
F,NF,F
F,F,F
F,F,F
NF,F,F
NF,NF,NF
F,NF,NF
NF,NF,NF
F,F,F
NF,NF,F
NF,F,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,F
NF,NF,NF
NF,NF,NF
NF,F,F
NF,F,F
NF,NF,NF
NF,NF,NF
F,NF,NF
F,NF,F
F,F,F
NF,NF,NF
F,F,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,F,F
NF,F,F
NF,NF,NF
NF,F,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,NF,NF
F,NF,NF
NF,NF,F
F,F,F
NF,F,F
NF,NF,NF
NF,NF,NF
F,F,F
NF,F,F
NF,NF,NF
F,NF,NF
F,NF,NF
F,F,F
F,F,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,F,F
NF,NF,NF
F,F,F
F,NF,NF
F,NF,NF
F,NF,NF
NF,F,F
NF,F,F
NF,NF,NF
NF,NF,NF
NF,F,F
NF,NF,NF
F,F,F
F,NF,NF
NF,F,F
NF,NF,NF
NF,NF,NF
F,NF,F
F,NF,NF
NF,NF,F
F,NF,NF
F,F,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,NF,NF
NF,NF,NF
NF,NF,NF
F,F,F
NF,NF,NF
NF,F,F
NF,NF,NF
F,F,F
NF,NF,NF
NF,NF,NF
F,F,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,F,F
F,NF,NF
F,NF,NF
NF,NF,NF
NF,F,F
NF,NF,NF
NF,NF,NF
F,F,F
NF,F,F
NF,NF,NF
F,NF,F
NF,NF,NF
NF,F,NF
NF,NF,NF
NF,NF,NF
F,F,F
F,F,F
NF,NF,NF
NF,F,F
F,NF,F
NF,NF,NF
NF,F,F
F,NF,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,F,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,F,F
F,NF,NF
F,F,F
NF,NF,NF
NF,NF,NF
F,F,F
NF,NF,NF
NF,NF,NF
F,NF,NF
NF,NF,F
NF,NF,NF
NF,NF,F
NF,NF,NF
F,F,F
NF,NF,NF
F,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,NF,NF
F,F,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,NF,NF
NF,F,NF
F,NF,F
NF,NF,NF
F,F,F
F,F,F
NF,NF,NF
NF,NF,NF
F,F,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,F,F
NF,NF,NF
NF,NF,NF
F,F,F
NF,NF,NF
F,F,F
F,F,F
NF,NF,NF
F,F,F
NF,NF,NF
NF,NF,NF
F,F,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,NF,NF
NF,NF,NF
F,NF,NF
NF,NF,NF
NF,NF,NF
NF,F,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,NF,F
NF,F,F
NF,NF,F
NF,NF,NF
F,F,F
NF,NF,NF
NF,NF,NF
NF,F,F
NF,NF,NF
NF,F,F
NF,NF,NF
NF,NF,NF
F,NF,NF
F,NF,F
NF,NF,NF
NF,NF,NF
F,F,F
NF,NF,NF
F,F,F
F,NF,NF
F,F,F
F,F,NF
NF,NF,NF
NF,NF,NF
F,F,F
NF,NF,NF
F,NF,NF
NF,NF,NF
F,F,F
F,NF,NF
F,F,F
F,F,F
NF,NF,NF
NF,NF,NF
F,F,F
NF,NF,NF
F,NF,NF
NF,NF,NF
F,F,F
F,NF,NF
NF,NF,NF
NF,NF,NF
NF,F,F
F,F,F
NF,NF,NF
NF,F,F
NF,NF,NF
F,F,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,NF,F
NF,NF,NF
F,NF,F
NF,NF,NF
NF,NF,NF
F,NF,F
NF,F,F
NF,F,F
NF,NF,NF
NF,NF,NF
F,NF,NF
NF,NF,NF
F,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,F,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,F,F
NF,NF,NF
NF,NF,NF
F,NF,NF
F,NF,F
NF,NF,NF
NF,NF,F
NF,F,F
F,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,F,F
NF,F,NF
NF,NF,NF
NF,F,F
NF,NF,NF
NF,NF,NF
NF,F,F
NF,NF,NF
F,NF,F
NF,F,F
NF,F,F
F,NF,NF
NF,NF,NF
F,F,F
NF,NF,NF
F,NF,F
NF,NF,NF
F,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,F,NF
F,NF,F
F,NF,NF
NF,NF,NF
NF,NF,NF
F,F,F
NF,F,F
F,F,F
F,NF,NF
NF,NF,NF
NF,F,F
NF,NF,NF
NF,NF,NF
F,F,F
NF,NF,NF
F,F,F
NF,NF,NF
F,F,F
NF,NF,NF
F,NF,F
NF,NF,NF
NF,F,NF
F,NF,NF
F,F,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,F,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,F,F
NF,NF,NF
NF,F,F
NF,NF,NF
F,F,NF
NF,NF,F
F,F,F
F,NF,NF
F,NF,NF
NF,NF,NF
NF,NF,NF
NF,F,F
NF,NF,NF
NF,NF,NF
NF,F,F
F,F,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,F,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,F,F
NF,NF,NF
F,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,F,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,F
NF,NF,NF
NF,NF,NF
F,F,F
F,F,F
F,F,F
NF,NF,NF
NF,F,F
NF,NF,NF
NF,NF,NF
F,NF,NF
NF,NF,NF
NF,NF,F
F,F,F
NF,NF,NF
F,F,F
NF,F,NF
F,NF,NF
NF,NF,F
F,F,F
NF,F,F
NF,NF,NF
NF,NF,NF
NF,F,F
NF,F,NF
F,F,F
F,NF,NF
F,NF,NF
NF,NF,NF
F,F,F
NF,NF,NF
F,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,F
F,NF,NF
NF,NF,NF
F,NF,NF
F,F,F
F,F,F
F,NF,NF
F,NF,F
NF,NF,NF
NF,NF,NF
F,F,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,NF,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,NF,F
NF,F,F
NF,F,F
NF,NF,F
F,NF,F
NF,NF,NF
F,NF,NF
F,F,F
NF,NF,NF
NF,NF,NF
F,F,F
F,F,F
NF,NF,NF
F,F,F
NF,NF,NF
F,NF,NF
NF,NF,F
NF,NF,NF
NF,NF,NF
F,F,F
NF,NF,NF
NF,F,F
NF,NF,NF
F,F,F
NF,F,F
F,NF,NF
F,NF,NF
NF,NF,NF
F,NF,NF
NF,NF,NF
F,NF,NF
NF,NF,NF
F,F,F
F,NF,NF
NF,F,F
NF,NF,NF
NF,NF,NF
NF,NF,F
NF,F,F
NF,NF,NF
NF,NF,NF
F,NF,F
NF,NF,NF
NF,F,F
F,NF,NF
NF,NF,NF
NF,NF,NF
F,F,F
F,F,F
NF,NF,NF
NF,NF,F
NF,F,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,NF,NF
F,NF,NF
NF,F,F
NF,F,F
F,NF,NF
NF,NF,NF
F,F,F
NF,NF,NF
F,NF,F
NF,F,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,F,F
NF,NF,NF
F,NF,NF
F,NF,NF
F,F,F
NF,F,F
NF,NF,NF
F,NF,NF
NF,NF,NF
NF,F,F
F,NF,NF
NF,NF,NF
NF,F,F
NF,NF,NF
NF,NF,NF
F,F,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,NF,NF
NF,NF,NF
NF,NF,NF
F,F,F
NF,NF,NF
F,NF,F
F,NF,F
NF,NF,NF
NF,NF,F
F,NF,F
NF,NF,NF
F,F,F
NF,F,F
NF,NF,NF
F,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,NF,NF
NF,NF,NF
F,NF,F
F,NF,F
NF,F,F
NF,NF,NF
F,NF,NF
NF,NF,NF
NF,NF,NF
F,F,F
NF,NF,NF
NF,F,NF
F,F,F
NF,NF,NF
NF,NF,NF
F,F,F
NF,NF,NF
NF,NF,NF
F,NF,F
NF,NF,NF
NF,NF,NF
F,F,F
NF,NF,NF
NF,F,F
NF,NF,NF
F,NF,NF
NF,F,F
NF,NF,NF
F,NF,NF
NF,NF,NF
NF,F,NF
NF,NF,F
NF,NF,NF
NF,NF,NF
NF,NF,F
F,NF,NF
NF,NF,NF
F,F,F
F,F,F
F,NF,F
NF,NF,NF
F,F,F
NF,NF,NF
NF,NF,NF
F,NF,NF
NF,NF,NF
F,NF,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,F,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,NF,NF
F,NF,NF
F,NF,NF
NF,NF,NF
F,NF,NF
F,NF,NF
F,F,F
NF,NF,NF
NF,F,F
NF,NF,NF
F,F,F
NF,NF,NF
F,NF,NF
F,F,F
NF,NF,NF
NF,NF,NF
F,F,F
NF,NF,NF
NF,NF,F
F,NF,NF
F,NF,NF
NF,NF,NF
NF,NF,NF
F,F,F
F,F,F
F,NF,NF
NF,NF,NF
F,NF,NF
NF,NF,NF
F,F,F
F,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,F,F
F,F,F
NF,NF,NF
F,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,NF,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,F,F
NF,NF,NF
NF,NF,NF
F,NF,NF
NF,NF,NF
F,NF,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,F,F
NF,NF,NF
F,F,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,F,F
NF,NF,NF
NF,NF,NF
F,F,F
F,F,F
F,F,F
F,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,NF,NF
F,NF,NF
NF,NF,NF
NF,NF,NF
NF,F,F
F,F,F
F,NF,NF
F,F,F
NF,F,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,NF,NF
F,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,F,F
NF,NF,NF
NF,F,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,NF,NF
NF,F,F
NF,NF,NF
F,F,F
F,NF,NF
F,F,F
NF,NF,F
NF,NF,NF
F,F,F
NF,F,F
NF,NF,NF
NF,NF,NF
F,NF,NF
NF,NF,NF
NF,NF,NF
F,F,F
F,NF,NF
F,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,F,F
F,NF,NF
F,NF,NF
F,NF,NF
NF,NF,NF
F,NF,NF
F,NF,NF
F,F,F
NF,NF,NF
NF,NF,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,F,F
NF,NF,NF
F,NF,NF
F,F,F
F,F,F
NF,NF,NF
NF,NF,NF
F,NF,NF
NF,NF,NF
NF,NF,NF
F,NF,NF
NF,F,F
NF,NF,NF
F,F,F
NF,NF,NF
NF,NF,NF
F,F,F
NF,F,F
F,F,F
NF,NF,NF
NF,NF,NF
NF,F,F
NF,F,F
F,NF,F
NF,NF,NF
NF,F,F
F,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,NF,NF
F,NF,NF
NF,F,F
F,NF,F
F,NF,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,F,F
NF,F,F
F,F,F
F,NF,F
F,F,F
F,F,F
F,F,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,NF,NF
NF,NF,NF
F,NF,NF
F,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,F
F,F,F
NF,F,F
NF,NF,NF
F,NF,NF
NF,NF,NF
NF,NF,NF
F,NF,NF
F,F,F
NF,NF,NF
F,NF,F
NF,NF,NF
NF,NF,NF
NF,F,F
NF,F,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,F,F
F,F,F
F,F,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,F,NF
NF,NF,NF
NF,F,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,F,F
NF,NF,NF
NF,F,NF
NF,F,F
NF,NF,NF
F,NF,NF
NF,NF,NF
F,NF,NF
NF,NF,NF
F,F,F
F,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,F,F
F,F,F
NF,NF,NF
F,F,F
NF,NF,NF
NF,F,NF
NF,NF,F
F,NF,NF
F,F,F
NF,NF,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,NF,F
F,F,F
NF,F,F
NF,F,NF
NF,NF,NF
NF,NF,NF
F,NF,F
NF,NF,NF
F,F,F
NF,NF,NF
NF,NF,NF
F,NF,NF
NF,NF,NF
NF,NF,NF
NF,F,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,F,F
NF,NF,NF
F,F,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,NF,F
NF,F,F
NF,F,F
NF,NF,NF
F,F,F
NF,NF,NF
NF,NF,NF
F,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,F,F
NF,NF,NF
NF,NF,NF
NF,NF,F
NF,NF,NF
NF,NF,NF
NF,F,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,F
F,NF,NF
F,F,F
NF,F,F
F,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,F,F
NF,NF,NF
F,NF,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,F,F
NF,NF,NF
NF,NF,F
F,NF,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,NF,F
NF,NF,NF
F,NF,NF
NF,F,F
F,NF,NF
NF,NF,F
NF,NF,NF
NF,NF,NF
NF,F,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,NF,NF
F,F,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,NF,NF
F,F,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,F,F
NF,F,F
F,F,F
NF,NF,F
NF,NF,NF
NF,F,F
NF,F,F
NF,NF,NF
NF,NF,NF
NF,F,F
NF,F,NF
NF,NF,NF
NF,NF,NF
F,NF,F
F,NF,NF
NF,F,F
F,F,F
F,F,F
NF,F,F
F,NF,NF
NF,F,F
F,F,F
NF,F,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,F,F
NF,NF,NF
F,NF,F
F,F,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,F,F
NF,NF,NF
F,NF,NF
NF,NF,NF
NF,NF,NF
F,NF,F
F,NF,NF
F,NF,NF
NF,NF,NF
F,F,F
NF,NF,NF
F,NF,NF
NF,NF,NF
NF,NF,NF
NF,F,F
NF,NF,NF
NF,NF,NF
F,F,F
F,NF,F
F,F,F
F,F,F
F,F,F
NF,NF,NF
NF,F,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,NF,F
NF,NF,NF
NF,NF,NF
F,F,F
NF,NF,NF
NF,NF,NF
F,NF,NF
NF,NF,NF
F,NF,NF
F,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,F,F
F,NF,NF
NF,F,F
F,F,F
F,NF,NF
F,NF,F
F,NF,NF
F,F,F
F,F,F
NF,NF,NF
NF,NF,NF
NF,NF,F
F,F,F
NF,NF,F
NF,NF,NF
NF,NF,NF
F,NF,NF
NF,NF,NF
F,F,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,F,F
NF,NF,NF
F,F,F
NF,F,F
F,F,NF
F,NF,NF
F,NF,F
F,NF,NF
NF,NF,NF
NF,NF,NF
NF,F,F
NF,NF,F
F,NF,F
NF,NF,NF
F,F,F
F,F,F
F,NF,NF
F,NF,F
NF,NF,NF
NF,NF,NF
F,F,F
NF,NF,NF
NF,NF,NF
F,NF,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,F,F
F,F,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,NF,F
NF,NF,NF
NF,NF,NF
NF,F,F
F,F,F
NF,NF,NF
NF,F,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,NF,F
NF,F,F
NF,F,F
NF,F,F
F,F,F
NF,NF,NF
F,F,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,F,F
F,F,F
F,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,F
F,NF,NF
F,F,F
NF,NF,F
F,NF,F
F,NF,NF
F,NF,NF
F,F,NF
F,NF,NF
NF,NF,NF
F,NF,NF
NF,NF,NF
F,F,F
NF,NF,NF
NF,NF,F
F,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,F
NF,NF,NF
NF,F,F
NF,NF,NF
F,F,F
F,NF,NF
F,F,F
NF,F,F
NF,NF,NF
NF,NF,NF
F,F,F
F,NF,NF
NF,NF,NF
F,NF,NF
NF,NF,NF
NF,F,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,F,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,F,NF
F,NF,F
NF,NF,NF
F,F,F
NF,NF,NF
NF,NF,NF
F,F,NF
NF,NF,NF
NF,F,F
F,NF,NF
NF,NF,NF
NF,NF,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,NF,NF
F,F,F
F,NF,NF
NF,NF,NF
F,F,F
NF,NF,NF
F,NF,NF
NF,NF,NF
NF,NF,NF
F,NF,NF
NF,NF,NF
NF,NF,NF
NF,F,F
NF,NF,NF
F,F,F
NF,NF,NF
F,F,F
NF,NF,NF
NF,F,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,F,F
F,F,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,F,F
NF,NF,NF
F,F,F
F,NF,F
F,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,F,F
NF,NF,NF
NF,NF,NF
F,F,F
F,NF,NF
NF,NF,NF
F,F,F
NF,NF,NF
NF,NF,NF
F,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,NF,F
F,F,F
F,F,F
F,NF,NF
NF,NF,NF
NF,F,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,F,F
F,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,F,F
NF,NF,NF
NF,F,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
F,F,F
NF,NF,NF
NF,F,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,NF,NF
NF,F,F
F,F,F
F,NF,NF
F,F,F
NF,F,F
NF,NF,NF
NF,NF,NF
NF,NF,NF
